fs_type,D,W,F,profile_name,p_read,p_write,p_mkdir,p_ls,p_mv,p_find,distribution,locality,zipf_s,operations,repeats,avg_latency_us,p99_latency_us,throughput_ops_sec,memory_usage_bytes
A,2,5,0.3,backup,0.1,0.7,0,0,0.2,0,uniform,0,0,2000,2,0.148005,0.4165,6.7571e+06,1582
A,2,5,0.3,backup,0.1,0.7,0,0,0.2,0,zipf,0.3,1.5,2000,2,0.135375,0.3545,7.38758e+06,1558
A,2,5,0.3,backup,0.1,0.7,0,0,0.2,0,zipf,0.8,2,2000,2,0.251316,0.6875,4.01784e+06,1542
A,2,5,0.6,backup,0.1,0.7,0,0,0.2,0,uniform,0,0,2000,2,0.14677,0.3955,6.81381e+06,3196
A,2,5,0.6,backup,0.1,0.7,0,0,0.2,0,zipf,0.3,1.5,2000,2,0.162033,0.396,6.17184e+06,3172
A,2,5,0.6,backup,0.1,0.7,0,0,0.2,0,zipf,0.8,2,2000,2,0.1683,0.4165,5.94181e+06,2991
A,2,5,0.95,backup,0.1,0.7,0,0,0.2,0,uniform,0,0,2000,2,0.156781,0.396,6.38271e+06,4840
A,2,5,0.95,backup,0.1,0.7,0,0,0.2,0,zipf,0.3,1.5,2000,2,0.156116,0.4165,6.4063e+06,4776
A,2,5,0.95,backup,0.1,0.7,0,0,0.2,0,zipf,0.8,2,2000,2,0.15753,0.396,6.34846e+06,4688
A,2,10,0.3,backup,0.1,0.7,0,0,0.2,0,uniform,0,0,2000,2,0.156821,0.4165,6.37854e+06,6054
A,2,10,0.3,backup,0.1,0.7,0,0,0.2,0,zipf,0.3,1.5,2000,2,0.15743,0.396,6.35373e+06,5841
A,2,10,0.3,backup,0.1,0.7,0,0,0.2,0,zipf,0.8,2,2000,2,0.151634,0.375,6.59545e+06,5681
A,2,10,0.6,backup,0.1,0.7,0,0,0.2,0,uniform,0,0,2000,2,0.181322,0.479,5.51789e+06,11680
A,2,10,0.6,backup,0.1,0.7,0,0,0.2,0,zipf,0.3,1.5,2000,2,0.167706,0.438,5.96629e+06,11392
A,2,10,0.6,backup,0.1,0.7,0,0,0.2,0,zipf,0.8,2,2000,2,0.167288,0.4375,5.97846e+06,11025
A,2,10,0.95,backup,0.1,0.7,0,0,0.2,0,uniform,0,0,2000,2,0.181239,0.479,5.51938e+06,12746
A,2,10,0.95,backup,0.1,0.7,0,0,0.2,0,zipf,0.3,1.5,2000,2,0.182837,0.479,5.47239e+06,12410
A,2,10,0.95,backup,0.1,0.7,0,0,0.2,0,zipf,0.8,2,2000,2,0.170539,0.438,5.86485e+06,11923
A,2,15,0.3,backup,0.1,0.7,0,0,0.2,0,uniform,0,0,2000,2,0.181183,0.4585,5.52156e+06,12308
A,2,15,0.3,backup,0.1,0.7,0,0,0.2,0,zipf,0.3,1.5,2000,2,0.164873,0.438,6.06898e+06,12332
A,2,15,0.3,backup,0.1,0.7,0,0,0.2,0,zipf,0.8,2,2000,2,0.148423,0.396,6.73991e+06,12031
A,2,15,0.6,backup,0.1,0.7,0,0,0.2,0,uniform,0,0,2000,2,0.187297,0.4795,5.34273e+06,21446
A,2,15,0.6,backup,0.1,0.7,0,0,0.2,0,zipf,0.3,1.5,2000,2,0.194319,0.521,5.14834e+06,20905
A,2,15,0.6,backup,0.1,0.7,0,0,0.2,0,zipf,0.8,2,2000,2,0.182153,0.479,5.49214e+06,19126
A,2,15,0.95,backup,0.1,0.7,0,0,0.2,0,uniform,0,0,2000,2,0.19112,0.4795,5.23476e+06,21438
A,2,15,0.95,backup,0.1,0.7,0,0,0.2,0,zipf,0.3,1.5,2000,2,0.18803,0.4795,5.32025e+06,20804
A,2,15,0.95,backup,0.1,0.7,0,0,0.2,0,zipf,0.8,2,2000,2,0.17829,0.4585,5.60991e+06,19517
A,5,5,0.3,backup,0.1,0.7,0,0,0.2,0,uniform,0,0,2000,2,0.316127,0.9795,3.19327e+06,58372
A,5,5,0.3,backup,0.1,0.7,0,0,0.2,0,zipf,0.3,1.5,2000,2,0.511741,1.2915,1.95455e+06,52233
A,5,5,0.3,backup,0.1,0.7,0,0,0.2,0,zipf,0.8,2,2000,2,0.433614,1.104,2.30629e+06,46031
A,5,5,0.6,backup,0.1,0.7,0,0,0.2,0,uniform,0,0,2000,2,0.489773,1.271,2.04284e+06,57924
A,5,5,0.6,backup,0.1,0.7,0,0,0.2,0,zipf,0.3,1.5,2000,2,0.313661,0.7915,3.18964e+06,52323
