fs_type,D,W,F,profile_name,p_read,p_write,p_mkdir,p_ls,p_mv,p_find,distribution,locality,zipf_s,operations,repeats,avg_latency_us,p99_latency_us,throughput_ops_sec,memory_usage_bytes
B,2,5,0.3,backup,0.1,0.7,0,0,0.2,0,uniform,0,0,2000,2,0.297268,1.333,3.36739e+06,2376
B,2,5,0.3,backup,0.1,0.7,0,0,0.2,0,zipf,0.3,1.5,2000,2,0.254716,1,3.9261e+06,2360
B,2,5,0.3,backup,0.1,0.7,0,0,0.2,0,zipf,0.8,2,2000,2,0.19545,1.0625,5.28582e+06,2256
B,2,5,0.6,backup,0.1,0.7,0,0,0.2,0,uniform,0,0,2000,2,0.174199,0.771,5.74881e+06,4896
B,2,5,0.6,backup,0.1,0.7,0,0,0.2,0,zipf,0.3,1.5,2000,2,0.203814,0.771,4.91671e+06,4627
B,2,5,0.6,backup,0.1,0.7,0,0,0.2,0,zipf,0.8,2,2000,2,0.18968,0.7085,5.28024e+06,4848
B,2,5,0.95,backup,0.1,0.7,0,0,0.2,0,uniform,0,0,2000,2,0.359273,1.2705,2.83865e+06,7060
B,2,5,0.95,backup,0.1,0.7,0,0,0.2,0,zipf,0.3,1.5,2000,2,0.302954,1.146,3.30153e+06,7292
B,2,5,0.95,backup,0.1,0.7,0,0,0.2,0,zipf,0.8,2,2000,2,0.321114,1.146,3.11431e+06,7172
B,2,10,0.3,backup,0.1,0.7,0,0,0.2,0,uniform,0,0,2000,2,0.313565,1.229,3.18984e+06,8936
B,2,10,0.3,backup,0.1,0.7,0,0,0.2,0,zipf,0.3,1.5,2000,2,0.278154,1.146,3.59656e+06,8635
B,2,10,0.3,backup,0.1,0.7,0,0,0.2,0,zipf,0.8,2,2000,2,0.185546,0.8335,5.40103e+06,8531
B,2,10,0.6,backup,0.1,0.7,0,0,0.2,0,uniform,0,0,2000,2,0.201843,0.75,4.95562e+06,17460
B,2,10,0.6,backup,0.1,0.7,0,0,0.2,0,zipf,0.3,1.5,2000,2,0.175334,0.709,5.7043e+06,17084
B,2,10,0.6,backup,0.1,0.7,0,0,0.2,0,zipf,0.8,2,2000,2,0.189837,0.708,5.26794e+06,17007
B,2,10,0.95,backup,0.1,0.7,0,0,0.2,0,uniform,0,0,2000,2,0.188049,0.75,5.31806e+06,18976
B,2,10,0.95,backup,0.1,0.7,0,0,0.2,0,zipf,0.3,1.5,2000,2,0.198563,0.7295,5.03834e+06,18840
B,2,10,0.95,backup,0.1,0.7,0,0,0.2,0,zipf,0.8,2,2000,2,0.244034,1.0625,4.28052e+06,18499
B,2,15,0.3,backup,0.1,0.7,0,0,0.2,0,uniform,0,0,2000,2,0.164601,0.646,6.08592e+06,18772
B,2,15,0.3,backup,0.1,0.7,0,0,0.2,0,zipf,0.3,1.5,2000,2,0.214716,0.875,5.01805e+06,18244
B,2,15,0.3,backup,0.1,0.7,0,0,0.2,0,zipf,0.8,2,2000,2,0.141253,0.6045,7.08099e+06,17767
B,2,15,0.6,backup,0.1,0.7,0,0,0.2,0,uniform,0,0,2000,2,0.154065,0.625,6.49168e+06,32144
B,2,15,0.6,backup,0.1,0.7,0,0,0.2,0,zipf,0.3,1.5,2000,2,0.17641,0.6455,5.69845e+06,31403
B,2,15,0.6,backup,0.1,0.7,0,0,0.2,0,zipf,0.8,2,2000,2,0.163897,0.6045,6.10202e+06,29418
B,2,15,0.95,backup,0.1,0.7,0,0,0.2,0,uniform,0,0,2000,2,0.169951,0.625,5.88594e+06,32328
B,2,15,0.95,backup,0.1,0.7,0,0,0.2,0,zipf,0.3,1.5,2000,2,0.172729,0.625,5.78966e+06,31560
B,2,15,0.95,backup,0.1,0.7,0,0,0.2,0,zipf,0.8,2,2000,2,0.17247,0.6665,5.82949e+06,29394
B,5,5,0.3,backup,0.1,0.7,0,0,0.2,0,uniform,0,0,2000,2,0.265145,1.0205,3.77744e+06,95112
B,5,5,0.3,backup,0.1,0.7,0,0,0.2,0,zipf,0.3,1.5,2000,2,0.48727,1.7705,2.05286e+06,87962
B,5,5,0.3,backup,0.1,0.7,0,0,0.2,0,zipf,0.8,2,2000,2,0.474171,1.7295,2.10894e+06,83121
B,5,5,0.6,backup,0.1,0.7,0,0,0.2,0,uniform,0,0,2000,2,0.463428,1.75,2.15794e+06,94960
B,5,5,0.6,backup,0.1,0.7,0,0,0.2,0,zipf,0.3,1.5,2000,2,0.324739,1.1875,3.0795e+06,87602
B,5,5,0.6,backup,0.1,0.7,0,0,0.2,0,zipf,0.8,2,2000,2,0.307216,1.1875,3.2551e+06,82491
B,5,5,0.95,backup,0.1,0.7,0,0,0.2,0,uniform,0,0,2000,2,0.30592,1.146,3.26941e+06,95288
B,5,5,0.95,backup,0.1,0.7,0,0,0.2,0,zipf,0.3,1.5,2000,2,0.291813,1.125,3.4269e+06,88318
B,5,5,0.95,backup,0.1,0.7,0,0,0.2,0,zipf,0.8,2,2000,2,0.278458,1.1045,3.59125e+06,82307
B,5,10,0.3,backup,0.1,0.7,0,0,0.2,0,uniform,0,0,2000,2,0.497497,1.792,2.14652e+06,1796741
B,5,10,0.3,backup,0.1,0.7,0,0,0.2,0,zipf,0.3,1.5,2000,2,0.335305,1.2085,2.98291e+06,1710270
B,5,10,0.3,backup,0.1,0.7,0,0,0.2,0,zipf,0.8,2,2000,2,0.380474,1.6245,2.75165e+06,1694462
B,5,10,0.6,backup,0.1,0.7,0,0,0.2,0,uniform,0,0,2000,2,0.506803,2.083,2.08436e+06,1791859
B,5,10,0.6,backup,0.1,0.7,0,0,0.2,0,zipf,0.3,1.5,2000,2,0.297862,1.0835,3.35731e+06,1705590
B,5,10,0.6,backup,0.1,0.7,0,0,0.2,0,zipf,0.8,2,2000,2,0.367953,1.5205,2.92265e+06,1695517
B,5,10,0.95,backup,0.1,0.7,0,0,0.2,0,uniform,0,0,2000,2,0.366711,1.271,2.72767e+06,1795443
B,5,10,0.95,backup,0.1,0.7,0,0,0.2,0,zipf,0.3,1.5,2000,2,0.31769,1.2085,3.14847e+06,1706752
B,5,10,0.95,backup,0.1,0.7,0,0,0.2,0,zipf,0.8,2,2000,2,0.308898,1.125,3.23747e+06,1694993
B,5,15,0.3,backup,0.1,0.7,0,0,0.2,0,uniform,0,0,2000,2,0.7372,3.3335,1.38589e+06,15442965
B,5,15,0.3,backup,0.1,0.7,0,0,0.2,0,zipf,0.3,1.5,2000,2,0.508376,2.604,2.0757e+06,15340106
B,5,15,0.3,backup,0.1,0.7,0,0,0.2,0,zipf,0.8,2,2000,2,0.351158,1.875,2.85782e+06,15322500
B,5,15,0.6,backup,0.1,0.7,0,0,0.2,0,uniform,0,0,2000,2,0.579366,1.959,1.728e+06,15441054
B,5,15,0.6,backup,0.1,0.7,0,0,0.2,0,zipf,0.3,1.5,2000,2,0.489231,2.292,2.19369e+06,15336992
B,5,15,0.6,backup,0.1,0.7,0,0,0.2,0,zipf,0.8,2,2000,2,0.417825,2.104,2.56197e+06,15322045
B,5,15,0.95,backup,0.1,0.7,0,0,0.2,0,uniform,0,0,2000,2,0.595315,1.958,1.68007e+06,15441945
B,5,15,0.95,backup,0.1,0.7,0,0,0.2,0,zipf,0.3,1.5,2000,2,0.392781,1.7915,2.5535e+06,15335323
B,5,15,0.95,backup,0.1,0.7,0,0,0.2,0,zipf,0.8,2,2000,2,0.302191,1.5,3.31988e+06,15321818
B,10,5,0.3,backup,0.1,0.7,0,0,0.2,0,uniform,0,0,2000,2,0.73866,2.6045,1.35965e+06,9094004
B,10,5,0.3,backup,0.1,0.7,0,0,0.2,0,zipf,0.3,1.5,2000,2,0.642704,3.417,1.62041e+06,8984700
B,10,5,0.3,backup,0.1,0.7,0,0,0.2,0,zipf,0.8,2,2000,2,0.467414,2.9795,2.13968e+06,8970846
B,10,5,0.6,backup,0.1,0.7,0,0,0.2,0,uniform,0,0,2000,2,1.18865,4.021,946684,9097417
B,10,5,0.6,backup,0.1,0.7,0,0,0.2,0,zipf,0.3,1.5,2000,2,0.61203,4.3955,1.63715e+06,8986280
B,10,5,0.6,backup,0.1,0.7,0,0,0.2,0,zipf,0.8,2,2000,2,0.496898,3.25,2.06759e+06,8969565
B,10,5,0.95,backup,0.1,0.7,0,0,0.2,0,uniform,0,0,2000,2,0.815457,2.7915,1.22634e+06,9092834
B,10,5,0.95,backup,0.1,0.7,0,0,0.2,0,zipf,0.3,1.5,2000,2,0.520149,2.896,1.92551e+06,8987599
B,10,5,0.95,backup,0.1,0.7,0,0,0.2,0,zipf,0.8,2,2000,2,0.397374,2.1455,2.51896e+06,8970573
B,10,10,0.3,backup,0.1,0.7,0,0,0.2,0,uniform,0,0,2000,2,15.8973,159.104,75755.6,832739858
B,10,10,0.3,backup,0.1,0.7,0,0,0.2,0,zipf,0.3,1.5,2000,2,1.60904,16.334,622436,832627573
B,10,10,0.3,backup,0.1,0.7,0,0,0.2,0,zipf,0.8,2,2000,2,2.15317,30.3125,803685,832612189
B,10,10,0.6,backup,0.1,0.7,0,0,0.2,0,uniform,0,0,2000,2,8.79221,81.521,116662,823112140
B,10,10,0.6,backup,0.1,0.7,0,0,0.2,0,zipf,0.3,1.5,2000,2,1.76541,18.8335,599589,823001031
B,10,10,0.6,backup,0.1,0.7,0,0,0.2,0,zipf,0.8,2,2000,2,0.859164,8.0835,1.18901e+06,822983532
B,10,10,0.95,backup,0.1,0.7,0,0,0.2,0,uniform,0,0,2000,2,6.13386,26.6875,164007,824320216
B,10,10,0.95,backup,0.1,0.7,0,0,0.2,0,zipf,0.3,1.5,2000,2,2.83704,42.0835,509568,824207208
B,10,10,0.95,backup,0.1,0.7,0,0,0.2,0,zipf,0.8,2,2000,2,1.07012,16.1455,992892,824188124
B,10,15,0.3,backup,0.1,0.7,0,0,0.2,0,uniform,0,0,2000,2,14.4097,88.1875,80725.2,813596844
B,10,15,0.3,backup,0.1,0.7,0,0,0.2,0,zipf,0.3,1.5,2000,2,4.94083,71.1665,382551,813482324
B,10,15,0.3,backup,0.1,0.7,0,0,0.2,0,zipf,0.8,2,2000,2,0.686246,5.6245,1.46498e+06,813467171
B,10,15,0.6,backup,0.1,0.7,0,0,0.2,0,uniform,0,0,2000,2,6.84283,27.9375,156148,810931893
B,10,15,0.6,backup,0.1,0.7,0,0,0.2,0,zipf,0.3,1.5,2000,2,2.43011,22.0415,454450,810821433
B,10,15,0.6,backup,0.1,0.7,0,0,0.2,0,zipf,0.8,2,2000,2,1.36653,26.5,897160,810803407
B,10,15,0.95,backup,0.1,0.7,0,0,0.2,0,uniform,0,0,2000,2,16.4464,161.959,60862.4,818677364
B,10,15,0.95,backup,0.1,0.7,0,0,0.2,0,zipf,0.3,1.5,2000,2,3.58114,56.3335,279256,818567803
B,10,15,0.95,backup,0.1,0.7,0,0,0.2,0,zipf,0.8,2,2000,2,1.12399,16.354,889794,818550691
B,10,2,0.3,backup,0.1,0.7,0,0,0.2,0,uniform,0,0,2000,2,0.519947,2.167,1.92629e+06,19032
B,10,2,0.3,backup,0.1,0.7,0,0,0.2,0,zipf,0.3,1.5,2000,2,0.488659,2.042,2.04643e+06,18747
B,10,2,0.3,backup,0.1,0.7,0,0,0.2,0,zipf,0.8,2,2000,2,0.480744,2.104,2.08012e+06,18249
B,10,2,0.6,backup,0.1,0.7,0,0,0.2,0,uniform,0,0,2000,2,0.411106,1.896,2.47564e+06,18800
B,10,2,0.6,backup,0.1,0.7,0,0,0.2,0,zipf,0.3,1.5,2000,2,0.315739,1.354,3.1672e+06,18723
B,10,2,0.6,backup,0.1,0.7,0,0,0.2,0,zipf,0.8,2,2000,2,0.33033,1.3545,3.02789e+06,18515
B,10,2,0.95,backup,0.1,0.7,0,0,0.2,0,uniform,0,0,2000,2,0.344272,1.417,2.91236e+06,19016
B,10,2,0.95,backup,0.1,0.7,0,0,0.2,0,zipf,0.3,1.5,2000,2,0.30269,1.271,3.30396e+06,18752
B,10,2,0.95,backup,0.1,0.7,0,0,0.2,0,zipf,0.8,2,2000,2,0.292447,1.25,3.41949e+06,18103
B,15,2,0.3,backup,0.1,0.7,0,0,0.2,0,uniform,0,0,2000,2,0.452411,1.688,2.24638e+06,72128
B,15,2,0.3,backup,0.1,0.7,0,0,0.2,0,zipf,0.3,1.5,2000,2,0.425963,1.646,2.3481e+06,68437
B,15,2,0.3,backup,0.1,0.7,0,0,0.2,0,zipf,0.8,2,2000,2,0.422243,1.625,2.38012e+06,64545
B,15,2,0.6,backup,0.1,0.7,0,0,0.2,0,uniform,0,0,2000,2,0.428391,1.646,2.33482e+06,71744
B,15,2,0.6,backup,0.1,0.7,0,0,0.2,0,zipf,0.3,1.5,2000,2,0.388084,1.563,2.57685e+06,68715
B,15,2,0.6,backup,0.1,0.7,0,0,0.2,0,zipf,0.8,2,2000,2,0.563409,3.292,1.81887e+06,64519
B,15,2,0.95,backup,0.1,0.7,0,0,0.2,0,uniform,0,0,2000,2,0.795204,6.0625,1.28271e+06,71744
B,15,2,0.95,backup,0.1,0.7,0,0,0.2,0,zipf,0.3,1.5,2000,2,0.608976,2.6045,1.64537e+06,68520
