fs_type,D,W,F,profile_name,p_read,p_write,p_mkdir,p_ls,p_mv,p_find,distribution,locality,zipf_s,operations,repeats,avg_latency_us,p99_latency_us,throughput_ops_sec,memory_usage_bytes
C,2,5,0.3,backup,0.1,0.7,0,0,0.2,0,uniform,0,0,2000,2,0.229952,0.771,4.35293e+06,1159
C,2,5,0.3,backup,0.1,0.7,0,0,0.2,0,zipf,0.3,1.5,2000,2,0.232606,0.75,4.29945e+06,1159
C,2,5,0.3,backup,0.1,0.7,0,0,0.2,0,zipf,0.8,2,2000,2,0.234978,0.729,4.25582e+06,1159
C,2,5,0.6,backup,0.1,0.7,0,0,0.2,0,uniform,0,0,2000,2,0.266548,0.8755,3.75219e+06,2497
C,2,5,0.6,backup,0.1,0.7,0,0,0.2,0,zipf,0.3,1.5,2000,2,0.240563,0.8125,4.16946e+06,2524
C,2,5,0.6,backup,0.1,0.7,0,0,0.2,0,zipf,0.8,2,2000,2,0.157417,0.5415,6.3567e+06,2524
C,2,5,0.95,backup,0.1,0.7,0,0,0.2,0,uniform,0,0,2000,2,0.152315,0.5835,6.57175e+06,2958
C,2,5,0.95,backup,0.1,0.7,0,0,0.2,0,zipf,0.3,1.5,2000,2,0.143131,0.562,6.99319e+06,2931
C,2,5,0.95,backup,0.1,0.7,0,0,0.2,0,zipf,0.8,2,2000,2,0.143259,0.521,6.98277e+06,2876
C,2,10,0.3,backup,0.1,0.7,0,0,0.2,0,uniform,0,0,2000,2,0.170397,0.6255,5.87346e+06,4621
C,2,10,0.3,backup,0.1,0.7,0,0,0.2,0,zipf,0.3,1.5,2000,2,0.148636,0.5835,6.73617e+06,4549
C,2,10,0.3,backup,0.1,0.7,0,0,0.2,0,zipf,0.8,2,2000,2,0.148672,0.5835,6.73061e+06,4594
C,2,10,0.6,backup,0.1,0.7,0,0,0.2,0,uniform,0,0,2000,2,0.198036,0.833,5.05438e+06,8658
C,2,10,0.6,backup,0.1,0.7,0,0,0.2,0,zipf,0.3,1.5,2000,2,0.196725,0.7505,5.08567e+06,8484
C,2,10,0.6,backup,0.1,0.7,0,0,0.2,0,zipf,0.8,2,2000,2,0.183594,0.75,5.44964e+06,8418
C,2,10,0.95,backup,0.1,0.7,0,0,0.2,0,uniform,0,0,2000,2,0.191715,0.792,5.22047e+06,8595
C,2,10,0.95,backup,0.1,0.7,0,0,0.2,0,zipf,0.3,1.5,2000,2,0.182047,0.771,5.49586e+06,8502
C,2,10,0.95,backup,0.1,0.7,0,0,0.2,0,zipf,0.8,2,2000,2,0.187143,0.771,5.34616e+06,8334
C,2,15,0.3,backup,0.1,0.7,0,0,0.2,0,uniform,0,0,2000,2,0.208995,0.9165,4.78803e+06,10234
C,2,15,0.3,backup,0.1,0.7,0,0,0.2,0,zipf,0.3,1.5,2000,2,0.193822,0.8545,5.16332e+06,10069
C,2,15,0.3,backup,0.1,0.7,0,0,0.2,0,zipf,0.8,2,2000,2,0.192112,0.833,5.21244e+06,9640
C,2,15,0.6,backup,0.1,0.7,0,0,0.2,0,uniform,0,0,2000,2,0.261627,1.271,3.82484e+06,18992
C,2,15,0.6,backup,0.1,0.7,0,0,0.2,0,zipf,0.3,1.5,2000,2,0.230977,1.2295,4.33291e+06,18110
C,2,15,0.6,backup,0.1,0.7,0,0,0.2,0,zipf,0.8,2,2000,2,0.223095,1.187,4.48466e+06,17393
C,2,15,0.95,backup,0.1,0.7,0,0,0.2,0,uniform,0,0,2000,2,0.254993,1.313,3.92564e+06,19847
C,2,15,0.95,backup,0.1,0.7,0,0,0.2,0,zipf,0.3,1.5,2000,2,0.233219,1.2705,4.29191e+06,19201
C,2,15,0.95,backup,0.1,0.7,0,0,0.2,0,zipf,0.8,2,2000,2,0.23543,1.1665,4.24878e+06,17651
C,5,5,0.3,backup,0.1,0.7,0,0,0.2,0,uniform,0,0,2000,2,0.476234,2.437,2.10137e+06,37805
C,5,5,0.3,backup,0.1,0.7,0,0,0.2,0,zipf,0.3,1.5,2000,2,0.403302,2.25,2.48048e+06,33419
C,5,5,0.3,backup,0.1,0.7,0,0,0.2,0,zipf,0.8,2,2000,2,0.339972,2.083,2.94242e+06,30107
C,5,5,0.6,backup,0.1,0.7,0,0,0.2,0,uniform,0,0,2000,2,0.45642,2.4375,2.19185e+06,37678
C,5,5,0.6,backup,0.1,0.7,0,0,0.2,0,zipf,0.3,1.5,2000,2,0.391743,2.2085,2.55375e+06,33978
C,5,5,0.6,backup,0.1,0.7,0,0,0.2,0,zipf,0.8,2,2000,2,0.51634,2.8335,1.95282e+06,29761
C,5,5,0.95,backup,0.1,0.7,0,0,0.2,0,uniform,0,0,2000,2,0.707075,3.6665,1.41431e+06,37870
C,5,5,0.95,backup,0.1,0.7,0,0,0.2,0,zipf,0.3,1.5,2000,2,0.616529,3.396,1.62224e+06,34491
C,5,5,0.95,backup,0.1,0.7,0,0,0.2,0,zipf,0.8,2,2000,2,0.580719,3.2285,1.72202e+06,30847
C,5,10,0.3,backup,0.1,0.7,0,0,0.2,0,uniform,0,0,2000,2,10.2953,82.6045,97160.9,1016472
C,5,10,0.3,backup,0.1,0.7,0,0,0.2,0,zipf,0.3,1.5,2000,2,9.28877,74.646,107657,922087
C,5,10,0.3,backup,0.1,0.7,0,0,0.2,0,zipf,0.8,2,2000,2,8.06598,64.417,127821,909519
C,5,10,0.6,backup,0.1,0.7,0,0,0.2,0,uniform,0,0,2000,2,13.3603,78.1455,74929.5,1013529
C,5,10,0.6,backup,0.1,0.7,0,0,0.2,0,zipf,0.3,1.5,2000,2,8.27843,69.5415,121099,921887
C,5,10,0.6,backup,0.1,0.7,0,0,0.2,0,zipf,0.8,2,2000,2,7.40503,70.8745,136244,908993
C,5,10,0.95,backup,0.1,0.7,0,0,0.2,0,uniform,0,0,2000,2,11.937,86.854,83889.7,1015349
C,5,10,0.95,backup,0.1,0.7,0,0,0.2,0,zipf,0.3,1.5,2000,2,8.32121,71.5625,121141,923698
C,5,10,0.95,backup,0.1,0.7,0,0,0.2,0,zipf,0.8,2,2000,2,8.2342,74.3755,122338,907757
