fs_type,D,W,F,profile,p_read,p_write,p_mkdir,p_ls,p_mv,p_find,distribution,locality,zipf_s,operations,repeats,avg_latency_us,p99_latency_us,throughput_ops_sec,memory_usage_bytes
A,2,10,0.3,build_system,0.5,0.25,0.1,0.05,0.05,0.05,uniform,0,0,3000,3,74.1215,548.333,13493.6,48395
A,2,10,0.3,build_system,0.5,0.25,0.1,0.05,0.05,0.05,zipf,0.3,1.5,3000,3,56.5365,575.167,20795.7,47314
A,2,10,0.3,build_system,0.5,0.25,0.1,0.05,0.05,0.05,zipf,0.8,2,3000,3,31.0755,376.367,32181.5,49172
A,2,10,0.3,file_manager,0.2,0.05,0.45,0.1,0.1,0.1,uniform,0,0,3000,3,186.343,2636.67,6507.38,200423
A,2,10,0.3,file_manager,0.2,0.05,0.45,0.1,0.1,0.1,zipf,0.3,1.5,3000,3,42.5963,766.6,23481.6,198333
A,2,10,0.3,file_manager,0.2,0.05,0.45,0.1,0.1,0.1,zipf,0.8,2,3000,3,36.675,564.067,27270.1,202221
A,2,10,0.3,database,0.55,0.45,0,0,0,0,uniform,0,0,3000,3,30.9819,69.2667,32310.8,6111
A,2,10,0.3,database,0.55,0.45,0,0,0,0,zipf,0.3,1.5,3000,3,32.2881,69.2333,30974.3,6111
A,2,10,0.3,database,0.55,0.45,0,0,0,0,zipf,0.8,2,3000,3,32.7757,72.5333,30512.3,6018
A,2,10,0.3,web_server,0.8,0.1,0,0.1,0,0,uniform,0,0,3000,3,30.7598,64.1,32544.2,6111
A,2,10,0.3,web_server,0.8,0.1,0,0.1,0,0,zipf,0.3,1.5,3000,3,32.4755,67.9333,30807.3,6111
A,2,10,0.3,web_server,0.8,0.1,0,0.1,0,0,zipf,0.8,2,3000,3,31.4316,66.7,31818,6111
A,2,10,0.95,build_system,0.5,0.25,0.1,0.05,0.05,0.05,uniform,0,0,3000,3,86.5174,607.867,11558.9,53307
A,2,10,0.95,build_system,0.5,0.25,0.1,0.05,0.05,0.05,zipf,0.3,1.5,3000,3,44.6144,480.2,26302,52979
A,2,10,0.95,build_system,0.5,0.25,0.1,0.05,0.05,0.05,zipf,0.8,2,3000,3,35.7323,498.3,27993.3,56765
A,2,10,0.95,file_manager,0.2,0.05,0.45,0.1,0.1,0.1,uniform,0,0,3000,3,173.533,2910.7,6908.56,205831
A,2,10,0.95,file_manager,0.2,0.05,0.45,0.1,0.1,0.1,zipf,0.3,1.5,3000,3,43.2704,675.033,24099.9,208027
A,2,10,0.95,file_manager,0.2,0.05,0.45,0.1,0.1,0.1,zipf,0.8,2,3000,3,46.769,884.633,21390.8,210597
A,2,10,0.95,database,0.55,0.45,0,0,0,0,uniform,0,0,3000,3,28.6576,64.4667,34977.7,8155
A,2,10,0.95,database,0.55,0.45,0,0,0,0,zipf,0.3,1.5,3000,3,31.2719,66.7667,31981.6,8155
A,2,10,0.95,database,0.55,0.45,0,0,0,0,zipf,0.8,2,3000,3,33.7015,126.467,29712.7,13466
A,2,10,0.95,web_server,0.8,0.1,0,0.1,0,0,uniform,0,0,3000,3,30.584,70.2333,32701.1,8155
